Krenak,Portugues,Ortografia Alternativa,Notas,Fonte
hinkõn tschin nii,os cães encontraram a caça,,,Rudolph (1909)
hinkõn tschin uwe,os cães rodearam a caça,,,Rudolph (1909)
hinkontno,"a metade, metade",,,Rudolph (1909)
hinkora,preto,,,Rudolph (1909)
hinkre,abraço,,,Rudolph (1909)
hinkrep,para onde,,,Rudolph (1909)
hinkruk,filha,,,Rudolph (1909)
hinkruk vaha,filho,,,Rudolph (1909)
hinkuan te tschin kuran,fome,,,Rudolph (1909)
hinkum,tabaco,,,Rudolph (1909)
hinkuntjak arek,gato-do-mato,,,Rudolph (1909)
hinkuntjak kuschi,gato-do-mato,,,Rudolph (1909)
hinkuntjak mim,gato-do-mato,,,Rudolph (1909)
hinkuntjun,tatu,,,Rudolph (1909)
hinkuntjun pakischu,"barata, blatta",,,Rudolph (1909)
hinkuntjun wäom,barata,,a que cheira mal,Rudolph (1909)
hinkuntschum,tatu,,,Rudolph (1909)
hintakruk,"pedra, bocado de pedra",,,Rudolph (1909)
hintaru,"terra, pátria",,,Rudolph (1909)
hintek,dançar,,,Rudolph (1909)
hintek hip mum,dançar,,,Rudolph (1909)
hinun,"braço, depressa, rápido, já",,,Rudolph (1909)
hinun no,"maneta, só tem um braço",,no = não,Rudolph (1909)
hinuntek,dançar,,,Rudolph (1909)
hinunti,levantar da posição deitada,,certamente porque para isso o braço é utilizado,Rudolph (1909)
hion,"fugir, esconder-se",,,Rudolph (1909)
hip mum,"agachar, dançar",,,Rudolph (1909)
hira,"agradecimento, recompensa",,,Rudolph (1909)
hirihek,rola,,pássaro! que produz sons queixosos,Rudolph (1909)
hitek,"chupar, mamar, chuchar",,,Rudolph (1909)
hiu,pega isso,,,Rudolph (1909)
hium,pega isso,,,Rudolph (1909)
hlin hlin nuk,"caeté, planta",,,Rudolph (1909)
hnimmak,botoque,,,Rudolph (1909)
ho,magro,,,Rudolph (1909)
ho o,"não, não posso esperar",,,Rudolph (1909)
hoa,"lá, aí, ali",,,Rudolph (1909)
hok hok,"garça-moura, Ardea Cocoi",,,Rudolph (1909)
hok koek,caracol,,,Rudolph (1909)
hokanin ja ha,o que procuras,,,Rudolph (1909)
hokanin we,"para que é isto, para que queres isto",,,Rudolph (1909)
hokare hoti,aonde vão,,,Rudolph (1909)
hoknar,caçar,,,Rudolph (1909)
hoknen,"catitú, Dicotyles labiatus",,,Rudolph (1909)
hokoém ,"catitú, Dicotyles labiatus",,,Rudolph (1909)
hokokan,coruja,,,Rudolph (1909)
hokokém,mocho-galego,,,Rudolph (1909)
hokonim jaha,o que procuras?,,,Rudolph (1909)
hokonim jen jen,caçar,,,Rudolph (1909)
hokonim prep,flato,,o que escapa,Rudolph (1909)
hon,ouve,,,Rudolph (1909)
honk mu,"fugir, escapar",,,Rudolph (1909)
hopu,mãe,,jopu,Rudolph (1909)
horop,árvore com espinhos grossos,,,Rudolph (1909)
hoti,"tu, vocês",,,Rudolph (1909)
hoti anine,em que dia vocês vêm,,,Rudolph (1909)
hoti hapra him,retribuição de cumprimento,,"ver ""ti jap prap him""",Rudolph (1909)
hoti hep ne,ele fica aqui,,,Rudolph (1909)
hoti kati,tu,,,Rudolph (1909)
hoti kati pram,o que queres?,,,Rudolph (1909)
hoti numrin,eu mesmo,,"ver ""ati""",Rudolph (1909)
hoti tokon tschon,"porquê, por que",,,Rudolph (1909)
hoti umrin,eu mesmo,,"ver ""ati""",Rudolph (1909)
hrlin,devagar,,,Rudolph (1909)
hrlinuk,depressa,,não devagar,Rudolph (1909)
hrlinun,devagar,,,Rudolph (1909)
hrlinun hakmum,"coxear, também andar atrás",,,Rudolph (1909)
hrlinun hep,esperar,,,Rudolph (1909)
hrlinun him,esperar,,,Rudolph (1909)
hrlinuntschik,"descer, desmontar",,,Rudolph (1909)
hua,girar,,,Rudolph (1909)
hua an,girar,,,Rudolph (1909)
huit,"muitos, todos",,,Rudolph (1909)
huk an,qual é o seu?,,,Rudolph (1909)
huk at,"teu, seu",,,Rudolph (1909)
huk intschagan,qual é o teu?,,do primo,Rudolph (1909)
huk ninjin,qual é o meu?,,,Rudolph (1909)
huk um,me dá o teu,,,Rudolph (1909)
huk?,qual?,,,Rudolph (1909)
hum,"queimar, arder",,huum,Rudolph (1909)
hum,"pega, é teu",,,Rudolph (1909)
hum a,gordura,,,Rudolph (1909)
hum em,"permitir, permissão",,,Rudolph (1909)
hum jan,"banhar, dar banho",,faz sair a gordura,Rudolph (1909)
hunk,onde,,,Rudolph (1909)
hunk,qual,,,Rudolph (1909)
hunk an,"ser, estar, existir",,,Rudolph (1909)
hunk huk,"rã-touro, Rana Mugiens",,onomatopéia,Rudolph (1909)
hure him,"atrás, detrás",,,Rudolph (1909)
hure him,tem paciência,,,Rudolph (1909)
hut,"levantar, subir",,,Rudolph (1909)
huum,queimado,,,Rudolph (1909)
huva-huva an,"distante, vasto",,,Rudolph (1909)
huva-huvatu,"vermelho, espécie de peixe",,,Rudolph (1909)
i,artigo em muitas palavras,,"como ""him""",Rudolph (1909)
i i ,muito,,,Rudolph (1909)
igoe,nós todos,,= hingoe hingwe,Rudolph (1909)
igoe om,falar conosco,,,Rudolph (1909)
ihi i i,"expressão de espanto, admiração",,,Rudolph (1909)
iho,preguiça,,,Rudolph (1909)
iho kuschi,pequeno preguiça,,,Rudolph (1909)
ikischuk,órgão genital masculino,,,Rudolph (1909)
iknehek,"bem-te-vi, Saurophagus sulpnureus",,,Rudolph (1909)
imbruk,gema de ovo,,,Rudolph (1909)
impen,"vertigem, com vertigens",,,Rudolph (1909)
impo jipo,clavícula,,,Rudolph (1909)
impok,"mamoeira, Ricimus Communis",,,Rudolph (1909)
imponjuk,noite,,,Rudolph (1909)
impran,cansado,,,Rudolph (1909)
impukenpuk,chorar,,,Rudolph (1909)
imum,vai embora,,,Rudolph (1909)
in in,pequeno,,muito pequeno,Rudolph (1909)
ina,"lá, aí, ali",,,Rudolph (1909)
inan,quem,,,Rudolph (1909)
ingame,bom,,,Rudolph (1909)
inglu,"susto, medo",,,Rudolph (1909)
ingoe,nós,,,Rudolph (1909)
ingrak jak,"maracanã, papagaio, gênero Conurus",,,Rudolph (1909)
ingrintscha,cantar,,,Rudolph (1909)
ingropo,"agradecido, apresentar os seus agradecimentos a alguém",,,Rudolph (1909)
ingru,cantar,,,Rudolph (1909)
ingwe,nós,,,Rudolph (1909)
inin krop kip,"apontar para, visar",,"kip, k — superlativo, ipin — ver",Rudolph (1909)
injak,agora,,,Rudolph (1909)
injak,muito,,,Rudolph (1909)
injak,a língua,,a malvada,Rudolph (1909)
injak,"cortado, corte, cortar",,,Rudolph (1909)
injak kischem,hostil à casa,,,Rudolph (1909)
injak kischep,"muito colérico, furioso",,,Rudolph (1909)
injak wak,muito branco,,,Rudolph (1909)
injam,"bom, raiz de inhame",,,Rudolph (1909)
injan,"pisar, entrar em",,,Rudolph (1909)
injauhi,muita,,,Rudolph (1909)
injene (hinjen),"o definhar, magro",,,Rudolph (1909)
injep e,posso ficar,,,Rudolph (1909)
injik,"nó, matar",,,Rudolph (1909)
injin,pequeno,,,Rudolph (1909)
injohon nuk,surdo,,sem orelha,Rudolph (1909)
injok,cobarde,,,Rudolph (1909)
injopo,febre,,,Rudolph (1909)
injopon,responder,,,Rudolph (1909)
injopon nuk,surdo,,,Rudolph (1909)
injuk,"meu, eu",,,Rudolph (1909)
injuk juknak,mulher casada,,,Rudolph (1909)
injuk uruhu,nós,,,Rudolph (1909)
injuknan,mulher,,,Rudolph (1909)
injuknan ankuim,solteiro,,,Rudolph (1909)
injuknan jaka,mulher velha,,,Rudolph (1909)
injuknan koem pen um,viúva,,,Rudolph (1909)
injuknan orem,mulher jovem,,,Rudolph (1909)
injuknan ton tõn,pequena moça,,,Rudolph (1909)
injuknan vaha,virgem,,,Rudolph (1909)
injuknuk,não é seu,,,Rudolph (1909)
injupu makinham,tia,,,Rudolph (1909)
inkam,direita,,,Rudolph (1909)
inkek,"ladrão, roubar",,,Rudolph (1909)
inkek inkek,onça,,,Rudolph (1909)
inkinan,tabaco,,,Rudolph (1909)
inkinan,piolho,,"o que nasce no cabelo, ""him ke nan""",Rudolph (1909)
inknam,piolho,,,Rudolph (1909)
inknan,"tico-tico, pássaro",,é assim chamado por ser pequeno,Rudolph (1909)
inkojan,viúva,,,Rudolph (1909)
inkoko,fumo,,,Rudolph (1909)
inkotenkot,doente,,andar devagar como uma tartaruga,Rudolph (1909)
inkrak,zangado,,,Rudolph (1909)
inkrak nuk,bem,,não zangado,Rudolph (1909)
inkre,mão,,que pode chegar ao corpo,Rudolph (1909)
inkre ahut,levantar a mão,,,Rudolph (1909)
inkrekhe,melhor,,,Rudolph (1909)
inku,"ovo, excremento",,,Rudolph (1909)
inku uruhu,diarréia,,,Rudolph (1909)
inkujap,"goiaba, gênero Psidium",,,Rudolph (1909)
inkum man tohom,fumar,,,Rudolph (1909)
inkut,tartaruga terrestre,,,Rudolph (1909)
inschakischem,"hostil, hostil à casa",,,Rudolph (1909)
inschakischemm nuk,"amigável, que não é hostil à casa",,,Rudolph (1909)
insta,"retornar, regressar, voltar, curvado",,,Rudolph (1909)
inta,costela,,,Rudolph (1909)
inta jop,bebe mais uma vez,,,Rudolph (1909)
intai,repita,,,Rudolph (1909)
intan,"retornar, regressar, voltar, curvado",,,Rudolph (1909)
intatu,coração,,,Rudolph (1909)
intik,"flato, flatulencia",,,Rudolph (1909)
intikin,"coração, onomatopaico",,comparar 'bakantik anteken',Rudolph (1909)
intjem,nassa,,,Rudolph (1909)
intjojum,cotovelo,,,Rudolph (1909)
intjovem,"corno, o boi",,,Rudolph (1909)
intjuma,"Anhuma, espécie de pássaro, Palamedes cornuta",,deriva de 'himjovena;,Rudolph (1909)
intschagan,primo,,,Rudolph (1909)
intschak,irmão,,,Rudolph (1909)
intschak,"dois, um outro",,deriva de 'hinjak - que é separado por um corte',Rudolph (1909)
intschak hen jak ton,alguém que estraga,,,Rudolph (1909)
intschak kruk,gêmeos,,,Rudolph (1909)
intscham,teia de aranha,,,Rudolph (1909)
intscham,ninho,,,Rudolph (1909)
intschikan,meu pai,,,Rudolph (1909)
intschom,fazer,,,Rudolph (1909)
intschoven,corno,,,Rudolph (1909)
intschum scha,jogar,,,Rudolph (1909)
intut intut,lagarta,,,Rudolph (1909)
ipi,"apanha, toma",,,Rudolph (1909)
ira,"acabar, terminar",,,Rudolph (1909)
it nen nuk,ele não vem,,,Rudolph (1909)
it nien,amarelo,,,Rudolph (1909)
ita,quebrado,,,Rudolph (1909)
item,escuro,,,Rudolph (1909)
item mot mot (mut mut),"ficar escuro, preto, enevoado",,,Rudolph (1909)
iti johok,dói,,,Rudolph (1909)
ja a,"pracuúba, gênero Astrocaryum",,,Rudolph (1909)
ja am imtschokan,espinho da pracuúba,,,Rudolph (1909)
jaha,eu sei,,,Rudolph (1909)
jaha,"procurar, caçar",,,Rudolph (1909)
jaji,"eu sei, eu penso, eu conheço",,,Rudolph (1909)
jak,"mau, venenoso, hostil",,,Rudolph (1909)
jak amerek,vive bem,,(kijak amerek),Rudolph (1909)
jak nankut kuran,"ir à caça, procurar comida perigosa",,,Rudolph (1909)
jak nem nem,"surucucu, Lachesis muta rhombeata",,9relacionado com o rabo em forma de arco),Rudolph (1909)
jakache,jacaré,,(o mal na água),Rudolph (1909)
jakaran,"amigável, bom, tirado o mal",,"daí tirado o nome do tipo de madeira Jacarandá, Jocaranda brasíliana",Rudolph (1909)
jakatak,"esfregar, friccionar",,,Rudolph (1909)
jakekek,crisálida,,,Rudolph (1909)
jakescham,"mau, perigoso, ruim",,,Rudolph (1909)
jakijan jakijun,"mau, perigoso, ruim",,,Rudolph (1909)
jakischam nuk,"manso, bom",,,Rudolph (1909)
jakischap,"mau, perigoso, ruim",,,Rudolph (1909)
jakjutwak,de barba branca,,,Rudolph (1909)
jakkan,que parece mau,,,Rudolph (1909)
jakkat,nu,,,Rudolph (1909)
jakkat tõn tõn kat,avental,,(a manta do nu),Rudolph (1909)
jakkom,a ponta má da flecha,,"(nome de um cacique dos Porumton, Puruntuns)",Rudolph (1909)
jakkren tõn,o homem negro,,(por causa do cabelo crespo),Rudolph (1909)
jakleschum,furnariidae,,"(deriva de 'nakleschum', ver este)",Rudolph (1909)
jaknek,panela,,,Rudolph (1909)
jaknek kren,"tampa de panela, rolha",,(a cabeça da panela),Rudolph (1909)
jakokek,libélula,,,Rudolph (1909)
jakotek,"taturana, lagarta de fogo",,,Rudolph (1909)
jakschum,mau,,,Rudolph (1909)
jaku,"pó, pólvora",,,Rudolph (1909)
jakukek,borboleta,,,Rudolph (1909)
jakupan jen,por cima dos outros,,,Rudolph (1909)
jakwak,"pálido, empalidecer",,,Rudolph (1909)
jam,"raspar, esgravatar",,,Rudolph (1909)
jam,telhado de folhas da cabana,,,Rudolph (1909)
jam (jan),semear,,,Rudolph (1909)
jama prakak pram kita,"drobrar ramos, para identificar o caminho na mata",,(fazer as haster parecer os pés de uma galinhola de rio),Rudolph (1909)
jamnik,"preguiçoso, calão",,,Rudolph (1909)
jamnik nuk,ativo,,,Rudolph (1909)
jampam,"ir embora, partir",,,Rudolph (1909)
jan,"ir, passar, o que sai de algo, acabar, o que sai",,,Rudolph (1909)
jan huit,"todos gostam de ir embora, ir embora",,,Rudolph (1909)
jangrok,"amargo, forte",,,Rudolph (1909)
jankarit,"saliva, cuspo",,,Rudolph (1909)
janken,"jeribá, espécie de palmeira",,(nome de moça botocuda a quem caiu o cabelo),Rudolph (1909)
jankrak,verde,,(o que cai das árvores),Rudolph (1909)
jankrak un,a folha,,(un = um),Rudolph (1909)
jantschak,"bala, chumbo",,(o mal que vem da espingarda),Rudolph (1909)
jantschi tschi,direita,,,Rudolph (1909)
jantschok,contente,,,Rudolph (1909)
jantschu,cunhado,,,Rudolph (1909)
jantshock,contente,,,Rudolph (1909)
jaom,o telhado de folhas da cabana,,,Rudolph (1909)
jap hinkõn,"ladrar, latir",,,Rudolph (1909)
japa,ir,,,Rudolph (1909)
japa muham,ir,,,Rudolph (1909)
japa muhum,passar,,,Rudolph (1909)
japa mum ne,passar,,,Rudolph (1909)
japa pip,eu achava,,(andado),Rudolph (1909)
japak,falso,,,Rudolph (1909)
japak kischem,hostil à casa,,,Rudolph (1909)
japakan,"seu, dele, o próprio",,,Rudolph (1909)
japakoé,falso,,,Rudolph (1909)
japan,"ser, estar, existir",,,Rudolph (1909)
japatõn,grande,,,Rudolph (1909)
japekan,"com gosto, de bom gosto",,,Rudolph (1909)
japeki,"boca, focinho",,,Rudolph (1909)
japjinta,flor,,,Rudolph (1909)
japo,"inútil, ineficaz",,,Rudolph (1909)
japo,bater,,,Rudolph (1909)
japo atschin,saciado,,(a carne é inútil),Rudolph (1909)
japokan,banana,,,Rudolph (1909)
japokoé,"hostil, falso",,('koé' deriva de 'kuvin'),Rudolph (1909)
japokwim,mentir,,,Rudolph (1909)
japoom,responder,,,Rudolph (1909)
jappe,"escolher, selecionar",,,Rudolph (1909)
jappen,"escolher, selecionar",,,Rudolph (1909)
japrahim,o que vem,,(pra = kra),Rudolph (1909)
japrohim,o que vem,,,Rudolph (1909)
japrok,margem,,,Rudolph (1909)
japu,gordo,,,Rudolph (1909)
japukwin,deitar,,,Rudolph (1909)
jarapmõn,bater,,,Rudolph (1909)
jari in,"virar, voltar",,,Rudolph (1909)
jat,folha,,,Rudolph (1909)
jauhi,muita,,,Rudolph (1909)
javanta,feijões,,,Rudolph (1909)
javati,milho,,,Rudolph (1909)
javati inkan,folhas da maçaroca de milho,,(o que se vê na maçaroca de milho),Rudolph (1909)
javati inkan amere,rolhas para espingarda,,(folhas da maçaroca de milho apertadas),Rudolph (1909)
javati kuschi,arroz,,,Rudolph (1909)
javati potschik,grão de milho,,,Rudolph (1909)
jekam,esquecer,,,Rudolph (1909)
jeke,"espécie de palmeira, coqueiro, folha de palmeira",,,Rudolph (1909)
jeki,osso,,,Rudolph (1909)
jen,"ir ali, ir, colocar, pôr, deitar",,,Rudolph (1909)
jep,"pôr, deitar",,,Rudolph (1909)
ji,"representa o superlativo em muitas palavras, tal como ki",,"representa o superlativo em muitas palavras, tal como ki",Rudolph (1909)
jijitscha,tenho febre,,,Rudolph (1909)
jikan,pai,,"(o cauteloso, prudente, bom aspecto)",Rudolph (1909)
jikaran,"muito maligno, selvagem",,,Rudolph (1909)
jikarun,muito,,,Rudolph (1909)
jikat im,"escolher, procurar o escondido",,,Rudolph (1909)
jikuvi,"detrás, atrás de",,,Rudolph (1909)
jintak,corda de arco,,,Rudolph (1909)
jintschik,"ele errou o alvo, falhou",,,Rudolph (1909)
jion,perder,,,Rudolph (1909)
jip,meu,,,Rudolph (1909)
jipakane,banana,,,Rudolph (1909)
jipakischu,"muito grande, vasto",,,Rudolph (1909)
jipan,"uma coisa, um objeto",,,Rudolph (1909)
jipato,muito grande,,,Rudolph (1909)
jipatõn,"muito mau, muito grande",,,Rudolph (1909)
jipatõn kan,dedo médio,,(que parece muito grande),Rudolph (1909)
jipin,"grávida, gravidez",,(a expressão indica a mudança de aparência),Rudolph (1909)
jipin kan,"um ferido, que tem uma flecha no corpo",,,Rudolph (1909)
jipo,dedo,,(o que está mais saído na mão),Rudolph (1909)
jipó,polegar,,(o gordo),Rudolph (1909)
jipo jitschokan,dedo anelar,,,Rudolph (1909)
jipo kapitaõ,dedo médio,,(o dedo capitão),Rudolph (1909)
jipo kruk,dedo mindinho,,(a criança),Rudolph (1909)
jipo kupanin,dedo indicador,,,Rudolph (1909)
jipokan,"banana, as frutas",,(parece um dedo),Rudolph (1909)
jipokantscha,"maitaca, gênero Plonus",,(papagaio de cauda curta),Rudolph (1909)
jipon,uma coisa,,,Rudolph (1909)
jipon,"embriagado, bêbado",,,Rudolph (1909)
jiporok,nome de tribo,,(numeros irmãos),Rudolph (1909)
jirun,"branco, também de cor clara, amarelo, liso, plano",,,Rudolph (1909)
jirun jak wak,pálido de medo,,,Rudolph (1909)
jitak,corda de arco,,,Rudolph (1909)
jitscha,"quente, cálido, seco, doente",,,Rudolph (1909)
jitschak,assado,,,Rudolph (1909)
jitschek,seco,,,Rudolph (1909)
jitschok,língua,,,Rudolph (1909)
jitschokan,mulher casada,,,Rudolph (1909)
jitschu,doente,,,Rudolph (1909)
jo a,"moça, virgem",,de onde nascemos,Rudolph (1909)
joati po im,o milho rebenta,,,Rudolph (1909)
johok,"dor, doer, pulmão, respirar com dificuldade, gemer, doente",,,Rudolph (1909)
johor johok,dor,,,Rudolph (1909)
johorehok,doente,,,Rudolph (1909)
joi,cortado,,,Rudolph (1909)
joi ma,nome de tribo,,,Rudolph (1909)
jojek,"espinha dorsal, costas",,,Rudolph (1909)
jok koek koek,porco doméstico,,,Rudolph (1909)
jokan mek,avental,,,Rudolph (1909)
jokokan,gordura,,,Rudolph (1909)
jokom,"muito velho, já não vale nada",,,Rudolph (1909)
jokon,"muito velho, já não vale nada",,,Rudolph (1909)
jomnek,baço,,,Rudolph (1909)
jomnjek,rim,,,Rudolph (1909)
jõn jehe,viva!,,celebração,Rudolph (1909)
jop,"beber, chupar",,,Rudolph (1909)
jopetip,nome masculino,,,Rudolph (1909)
jopik,montanha,,,Rudolph (1909)
jopik kon pn,a montanha é baixa,,,Rudolph (1909)
jopik oron,"montanha alta, cume, cume da montanha",,,Rudolph (1909)
jopo oran,virgem,,,Rudolph (1909)
jopok,assar,,,Rudolph (1909)
jopok e,atrás,,,Rudolph (1909)
jopu,gordo,,,Rudolph (1909)
jore,mais tarde,,,Rudolph (1909)
joremo,todos vão mais tarde,,,Rudolph (1909)
joremu tíntí,eu vou mais tarde,,,Rudolph (1909)
jorokrakn,cair,,,Rudolph (1909)
jotãn,"o que vai mais tarde, intestinos",,,Rudolph (1909)
jotãn atok,órgão genital feminino,,os cobertos,Rudolph (1909)
jotãn jipakischu,órgão genital feminino,,,Rudolph (1909)
jotom,lombriga,,,Rudolph (1909)
jova,rio abaixo,,,Rudolph (1909)
jovati inkan,maçaroca de milho,,,Rudolph (1909)
jovati inku kat,folhas exteriores da maçaroca,,,Rudolph (1909)
ju,espirrar para fora,,,Rudolph (1909)
juhu,saltar,,,Rudolph (1909)
juk,cauda,,simbolicamente o pênis e o seu portador,Rudolph (1909)
juk brukuku,"jararaca, espécie de serpente",,,Rudolph (1909)
juk et et ,"estrela-cometa, estrela cadente",,,Rudolph (1909)
juk inta,escorpião,,pela cauda a dor,Rudolph (1909)
juk koék koék,porco doméstico,,,Rudolph (1909)
juk kuruk,"filho, rapaz",,,Rudolph (1909)
juk mim mim,porco doméstico,,,Rudolph (1909)
juk nek,"esquilo, caxinguelê",,que tem uma bonita cauda,Rudolph (1909)
juk nem nem,surucucu,,,Rudolph (1909)
juk pruk,pênis ereto,,,Rudolph (1909)
jukeriri,cascavel,,o mesmo que surucucu,Rudolph (1909)
jukeriri jakischek,cobra cipó,,,Rudolph (1909)
jukeriri jipakischu,cascavel,,,Rudolph (1909)
jukkuan nimpijan,arco-íris,,,Rudolph (1909)
juknan,virgem,,que gera através do hímen,Rudolph (1909)
juknan jika pipokrek,"mulher velha, mulher feia, feia",,,Rudolph (1909)
juknan juki,"mulher ossuda, magra",,,Rudolph (1909)
juknan kiinkek,violar uma mulher,,,Rudolph (1909)
juknan potschik,viúva,,,Rudolph (1909)
juknta,escorpião,,,Rudolph (1909)
jukuip,"abio, caimito",,espécie de árvore,Rudolph (1909)
jukupan,"embaixo, por baixo, abaixo",,,Rudolph (1909)
jukupan jen,por cima dos outros,,,Rudolph (1909)
jukupan tschak,por cima de,,,Rudolph (1909)
jukupan tschap,por cima de,,,Rudolph (1909)
jukut nan,encontrar,,,Rudolph (1909)
jukuvan,traíra,,grande peixe carnívoro,Rudolph (1909)
jukuvan,arco-íris,,,Rudolph (1909)
jukuvan nimpischan,arco-íris,,,Rudolph (1909)
jukwan,surucucu,,,Rudolph (1909)
jukwon,surucucu,,,Rudolph (1909)
jumerek,órgão genital feminino,,,Rudolph (1909)
jun,"ser, estar, existir, passar, fino, pico, papiro",,,Rudolph (1909)
jun moron,agudo,,,Rudolph (1909)
jun tõn tõn,sinuoso,,o cume é mal,Rudolph (1909)
juni,ponta da flecha,,,Rudolph (1909)
juni wimpin,colocar armadilhas,,,Rudolph (1909)
junju,"gambá, sarigueia",,,Rudolph (1909)
junkran,orelha,,,Rudolph (1909)
juntjak,"cacique, como se domina",,o cume mau,Rudolph (1909)
juntnem,arco das crianças,,,Rudolph (1909)
juntschin,vermelho,,,Rudolph (1909)
junuk,rombo,,não aguçado,Rudolph (1909)
jupuk makinjam,tio,,,Rudolph (1909)
juru,azul,,,Rudolph (1909)
juva akmum um,a montante,,,Rudolph (1909)
juvak mum um copy,a montante,,,Rudolph (1909)
juvati,milho vermelho,,,Rudolph (1909)
juvatu,"grande rio, onde há peixe",,,Rudolph (1909)
kache,jacaré,,o grande [animal] na água,Rudolph (1909)
kahe,jacaré,,,Rudolph (1909)
kaho,preguiça,,,Rudolph (1909)
kaijo,taioba,,,Rudolph (1909)
kajon,"taioba, rolha",,,Rudolph (1909)
kakerek,"pescoço, garganta",,,Rudolph (1909)
kakirijan,joelho,,,Rudolph (1909)
kakmum,partir depressa,,,Rudolph (1909)
kakri,"rótula, nó, tornozelo",,,Rudolph (1909)
kakrijan,joelho,,,Rudolph (1909)
kakro,"taquara, espécie de bambu",,,Rudolph (1909)
kamintschak,menstruação,,,Rudolph (1909)
kampan,ele não tem nada,,,Rudolph (1909)
kampan numrin,ele próprio,,,Rudolph (1909)
kampo,"confirmar, leve",,,Rudolph (1909)
